QUESTIONS POSEES;;;;;;;;;;;Déjà tout;SC 1;;;;;;;;;Scénarios ;SC 2;;;;;;;;;;Nb postes;Scénarios ;Sc 3;;;;;;;;;;;
Periode;Isolation du toit;Changement des fenêtres;Isolation des murs;Isolation du sol;Changement du système de chauffage principal;Installation ou remplacement d'un poêle;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;Installation d'un système de ventilation;Rampants ou combles perdus ?;fait ?;Trav 1;Trav 2;Trav 3;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario;identiques ?;Trav 1;Trav 2;Trav 3;Trav 4;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario;identiques;identiques ?;Trav 1;Trav 2;Trav 3;Trav 4;Trav 5;Trav 6;Prix;Niveau aides;Baisse factures;Confort hiver;Confort été;Nom scénario
80 - 2000;0;0;1;0;1;0;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;35000;Important;5;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;;40000;Modéré;6;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;0;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;;50000;Important;7;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;;75000;Important;8;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Intermédiaire;3;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Isolation des murs;;;55000;Modéré;5;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Intermédiaire;3;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Isolation du sol;Isolation des murs;;60000;Modéré;6;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Optimisé;4;Oui;;;;;;;;;;;;
80 - 2000;0;0;1;1;1;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Optimisé;3;Oui;;;;;;;;;;;;
80 - 2000;0;0;1;0;1;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;;30000;Modéré;3;5;4;Intermédiaire;3;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Isolation du sol;;;30000;Modéré;4;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;;50000;Important;7;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;1;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;0;1;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;0;0;1;0;Rampants;Non;Isolation du toit;Installation d'un système de ventilation;;13000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;45000;Important;6;5;4;Intermédiaire;4;Non;Isolation du toit;Installation d'un système de ventilation;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;Installation d'un chauffe-eau, solaire ou thermodynamique;;80000;Important;9;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation des murs;Installation d'un chauffe-eau, solaire ou thermodynamique;;70000;Important;8;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;Isolation des murs;;65000;Modéré;8;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;;60000;Important;8;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;;50000;Important;7;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;1;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;;45000;Important;7;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;0;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;;55000;Important;8;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;Installation d'un chauffe-eau, solaire ou thermodynamique;;80000;Important;9;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation des murs;Installation d'un chauffe-eau, solaire ou thermodynamique;;;65000;Important;6;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation du sol;Isolation des murs;;;60000;Modéré;6;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;;60000;Important;8;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Installation d'un chauffe-eau, solaire ou thermodynamique;Installation de panneaux solaires photovoltaïques;;;40000;Modéré;5;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;1;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;;;40000;Important;5;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Installation d'un chauffe-eau, solaire ou thermodynamique;;55000;Important;8;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;1;0;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;;;70000;Important;8;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation des murs;;;60000;Modéré;7;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;Isolation des murs;;65000;Modéré;8;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Installation de panneaux solaires photovoltaïques;;;50000;Important;7;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Installation de panneaux solaires photovoltaïques;;;40000;Modéré;6;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;1;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;;35000;Important;5;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Installation ou remplacement d'un poêle;Isolation du sol;;;35000;Modéré;6;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;;;45000;Important;7;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;1;0;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation des murs;;;70000;Important;8;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;1;1;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation des murs;;;;55000;Modéré;5;8;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;1;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation du sol;Isolation des murs;;;60000;Modéré;6;10;6;Rénovation ambitieuse
80 - 2000;0;0;1;1;0;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Installation de panneaux solaires photovoltaïques;;;50000;Important;7;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;1;1;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Installation de panneaux solaires photovoltaïques;;;;35000;Faible;4;5;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;1;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;;;25000;Modéré;3;5;4;Intermédiaire;2;Non;Isolation du toit;Changement des fenêtres;Isolation du sol;;;;30000;Modéré;4;7;4;Rénovation ambitieuse
80 - 2000;0;0;1;0;0;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;;;45000;Important;7;7;4;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;1;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;;75000;Important;9;10;6;Rénovation ambitieuse
80 - 2000;0;0;0;0;0;0;1;0;1;Rampants;Non;Isolation du toit;;;11000;Modéré;2;3;4;Budget restreint;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;;40000;Important;6;5;4;Intermédiaire;3;Non;Isolation du toit;Changement des fenêtres;Changement du système de chauffage principal;Isolation du sol;Isolation des murs;;75000;Important;9;10;6;Rénovation ambitieuse
